"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00092159","1996-01","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","9",",0","9",",0","1",",0","","","0","1,0","","","","","","","","","","","1","","","","","","19960131","+,1,0","","","19960127",",,0","","","","","","","0","1,,0,31,+","47.5",",,0,27,","","","","","","","153.7",",,,0","0","1,,,0","","","","","",""
"USC00092159","1996-02","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","5",",0","4",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19960229","+,,0","19960229","+,,0","","","19960202",",,0","","","","","0",",,0,29,+","0",",,0,29,+","52.1",",,0,02,","","","","","","","105.5",",,,0","0",",,,0","","","","","",""
"USC00092159","1996-03","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","12",",0","10",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","19960331","+,,0","19960331","+,,0","","","19960307",",,0","","","","","0",",,0,31,+","0",",,0,31,+","46.7",",,0,07,","","","","","","","212.1",",,,0","0",",,,0","","","","","",""
"USC00092159","1996-04","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","8",",0","7",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19960430","+,,0","19960430","+,,0","","","19960429",",,0","","","","","0",",,0,30,+","0",",,0,30,+","46.5",",,0,29,","","","","","","","123.2",",,,0","0",",,,0","","","","","",""
"USC00092159","1996-05","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","1",",0","1",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19960531","+,,0","19960531","+,,0","","","19960528",",,0","","","","","0",",,0,31,+","0",",,0,31,+","61.0",",,0,28,","","","","","","","61.0",",,,0","0",",,,0","","","","","",""
"USC00092159","1996-07","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","12",",0","9",",0","1",",0","0","1,0","0",",0","","","","","","","","","","","","","","","19960731","+,1,0","19960731","+,,0","","","19960726",",,0","","","","","0","1,,0,31,+","0",",,0,31,+","25.4",",,0,26,","","","","","","","103.8",",,,0","0",",,,0","","","","","",""
"USC00092159","1996-08","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","9",",0","7",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19960831","+,,0","19960831","+,,0","","","19960827",",,0","","","","","0",",,0,31,+","0",",,0,31,+","20.3",",,0,27,","","","","","","","72.1",",,,0","0",",,,0","","","","","",""
"USC00092159","1996-09","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","13",",0","9",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19960930","+,,0","19960930","+,,0","","","19960928",",,0","","","","","0",",,0,30,+","0",",,0,30,+","40.6",",,0,28,","","","","","","","137.8",",,,0","0",",,,0","","","","","",""
"USC00092159","1996-10","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","7",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19961031","+,,0","19961031","+,,0","","","19961002",",,0","","","","","0",",,0,31,+","0",",,0,31,+","29.5",",,0,02,","","","","","","","60.0",",,,0","0",",,,0","","","","","",""
"USC00092159","1996-11","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","7",",0","5",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19961118",",,0","19961118",",,0","","","19961108",",,0","","","","","0",",T,0,18,","0",",T,0,18,","25.4",",,0,08,","","","","","","","54.9",",,,0","0",",T,,0","","","","","",""
